192.168.56.1, 2020-07-06 12:43:11, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000849
192.168.56.1, 2020-07-06 12:43:11, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000989
192.168.56.1, 2020-07-06 12:43:12, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.000816
192.168.56.1, 2020-07-06 12:43:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000805
192.168.56.1, 2020-07-06 12:43:15, POST, /admin/default/index, HTTP/1.1, 303, 0.027425
192.168.56.1, 2020-07-06 12:43:15, GET, /admin/default/site, HTTP/1.1, 200, 0.049361
192.168.56.1, 2020-07-06 12:43:15, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.000888
192.168.56.1, 2020-07-06 12:43:30, POST, /admin/default/check_version, HTTP/1.1, 200, 14.657593
192.168.56.1, 2020-07-06 12:48:01, GET, /, HTTP/1.1, 303, 0.002674
192.168.56.1, 2020-07-06 12:48:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.146664
192.168.56.1, 2020-07-06 12:48:01, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000902
192.168.56.1, 2020-07-06 12:48:04, GET, /admin/default/index, HTTP/1.1, 200, 0.132560
192.168.56.1, 2020-07-06 12:48:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
192.168.56.1, 2020-07-06 12:48:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.029911
127.0.0.1, 2020-07-06 23:37:10, GET, /, HTTP/1.0, 303, 0.001845
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/default/index, HTTP/1.0, 200, 0.413930
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.0, 200, 0.001919
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.0, 200, 0.000684
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.0, 200, 0.000998
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/js/calendar.js, HTTP/1.0, 200, 0.000527
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/css/calendar.css, HTTP/1.0, 200, 0.000713
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/js/jquery.js, HTTP/1.0, 200, 0.000659
127.0.0.1, 2020-07-06 23:37:10, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.0, 200, 0.000599
127.0.0.1, 2020-07-06 23:37:11, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.0, 200, 0.000668
127.0.0.1, 2020-07-06 23:37:11, GET, /welcome/static/js/web2py.js, HTTP/1.0, 200, 0.001004
127.0.0.1, 2020-07-06 23:37:11, GET, /welcome/static/images/background.jpg, HTTP/1.0, 404, 0.000498
127.0.0.1, 2020-07-06 23:37:11, GET, /welcome/static/images/favicon.ico, HTTP/1.0, 200, 0.000772
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/default/index, HTTP/1.0, 200, 0.490846
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.0, 200, 0.024864
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.0, 200, 0.033622
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.0, 200, 0.037829
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.0, 200, 0.032332
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.0, 200, 0.000336
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.0, 200, 0.039563
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.0, 200, 0.039401
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.0, 200, 0.000415
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.0, 200, 0.001508
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.0, 200, 0.004599
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.0, 200, 0.001228
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.0, 200, 0.000786
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.0, 200, 0.005476
127.0.0.1, 2020-07-06 23:37:13, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.0, 200, 0.010161
127.0.0.1, 2020-07-06 23:37:13, GET, /favicon.ico, HTTP/1.0, 400, 0.000234
127.0.0.1, 2020-07-06 23:37:16, POST, /admin/default/index, HTTP/1.0, 303, 0.017335
127.0.0.1, 2020-07-06 23:37:16, GET, /admin/default/site, HTTP/1.0, 200, 0.055086
127.0.0.1, 2020-07-06 23:37:16, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.0, 200, 0.002457
127.0.0.1, 2020-07-06 23:37:16, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.0, 200, 0.000896
127.0.0.1, 2020-07-06 23:37:16, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.0, 200, 0.093268
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/default/index, HTTP/1.0, 200, 0.133168
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/css/calendar.css, HTTP/1.0, 200, 0.001299
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/css/web2py.css, HTTP/1.0, 200, 0.000702
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/css/stupid.css, HTTP/1.0, 200, 0.000787
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/css/examples.css, HTTP/1.0, 200, 0.003940
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/js/jquery.js, HTTP/1.0, 200, 0.001258
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/js/web2py.js, HTTP/1.0, 200, 0.000978
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/js/calendar.js, HTTP/1.0, 200, 0.002575
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/images/web2py_logo.png, HTTP/1.0, 200, 0.002701
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/images/book-5th.png, HTTP/1.0, 200, 0.001583
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/images/videos.png, HTTP/1.0, 200, 0.001070
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/images/book-recipes.png, HTTP/1.0, 200, 0.001037
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.0, 200, 0.002614
127.0.0.1, 2020-07-06 23:37:20, GET, /examples/static/images/favicon.ico, HTTP/1.0, 200, 0.000634
127.0.0.1, 2020-07-06 23:37:20, POST, /admin/default/check_version, HTTP/1.0, 200, 4.235903
127.0.0.1, 2020-07-06 23:37:28, GET, /examples/default/index, HTTP/1.0, 200, 0.015849
127.0.0.1, 2020-07-06 23:37:28, GET, /examples/static/css/web2py.css, HTTP/1.0, 200, 0.000477
127.0.0.1, 2020-07-06 23:37:28, GET, /examples/static/css/examples.css, HTTP/1.0, 200, 0.000738
127.0.0.1, 2020-07-06 23:37:28, GET, /examples/static/css/stupid.css, HTTP/1.0, 200, 0.000747
127.0.0.1, 2020-07-06 23:37:31, GET, /examples/default/what, HTTP/1.0, 200, 0.031888
127.0.0.1, 2020-07-06 23:37:32, GET, /examples/default/documentation, HTTP/1.0, 200, 0.028536
127.0.0.1, 2020-07-06 23:37:33, GET, /examples/default/support, HTTP/1.0, 200, 0.009851
127.0.0.1, 2020-07-06 23:37:34, GET, /examples/default/who, HTTP/1.0, 200, 0.011030
127.0.0.1, 2020-07-06 23:37:35, GET, /examples/default/index, HTTP/1.0, 200, 0.011483
127.0.0.1, 2020-07-06 23:37:35, GET, /examples/static/images/web2py_logo.png, HTTP/1.0, 200, 0.000700
127.0.0.1, 2020-07-06 23:37:35, GET, /examples/static/images/book-5th.png, HTTP/1.0, 200, 0.000527
127.0.0.1, 2020-07-06 23:37:35, GET, /examples/static/images/videos.png, HTTP/1.0, 200, 0.000869
127.0.0.1, 2020-07-06 23:37:35, GET, /examples/static/images/book-recipes.png, HTTP/1.0, 200, 0.000692
127.0.0.1, 2020-07-06 23:37:35, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.0, 200, 0.000664
127.0.0.1, 2020-07-06 23:37:37, GET, /examples/default/who, HTTP/1.0, 200, 0.001545
127.0.0.1, 2020-07-06 23:37:38, GET, /examples/default/support, HTTP/1.0, 200, 0.002058
127.0.0.1, 2020-07-06 23:37:38, GET, /examples/default/documentation, HTTP/1.0, 200, 0.001615
127.0.0.1, 2020-07-06 23:37:39, GET, /examples/default/what, HTTP/1.0, 200, 0.001481
127.0.0.1, 2020-07-06 23:37:39, GET, /examples/default/index, HTTP/1.0, 200, 0.009164
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/default/site, HTTP/1.0, 200, 0.031590
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.0, 200, 0.000556
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.0, 200, 0.001226
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.0, 200, 0.000515
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.0, 200, 0.000702
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.0, 200, 0.001165
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.0, 200, 0.001717
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.0, 200, 0.000800
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.0, 200, 0.000813
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.0, 200, 0.001797
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.0, 200, 0.001213
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.0, 200, 0.003990
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.0, 200, 0.000745
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.0, 200, 0.000741
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.0, 200, 0.000378
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.0, 200, 0.000643
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.0, 200, 0.000671
127.0.0.1, 2020-07-06 23:37:40, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.0, 200, 0.001219
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/default/index, HTTP/1.0, 200, 0.021990
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.0, 200, 0.000636
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.0, 200, 0.000514
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/js/jquery.js, HTTP/1.0, 200, 0.001880
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.0, 200, 0.003952
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/css/calendar.css, HTTP/1.0, 200, 0.002176
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/js/calendar.js, HTTP/1.0, 200, 0.000834
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/js/web2py.js, HTTP/1.0, 200, 0.000667
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.0, 200, 0.001531
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.0, 200, 0.000589
127.0.0.1, 2020-07-06 23:37:42, GET, /welcome/static/images/background.jpg, HTTP/1.0, 404, 0.000975
127.0.0.1, 2020-07-06 23:37:45, GET, /admin/default/index, HTTP/1.0, 303, 0.005910
127.0.0.1, 2020-07-06 23:37:45, GET, /admin/default/site, HTTP/1.0, 200, 0.027323
127.0.0.1, 2020-07-06 23:37:46, GET, /favicon.ico, HTTP/1.0, 400, 0.000288
127.0.0.1, 2020-07-06 23:37:49, POST, /admin/default/check_version, HTTP/1.0, 200, 0.539578
127.0.0.1, 2020-07-06 23:38:09, GET, /admin/wizard/index, HTTP/1.0, 200, 0.037220
127.0.0.1, 2020-07-06 23:38:09, GET, /favicon.ico, HTTP/1.0, 400, 0.000669
127.0.0.1, 2020-07-06 23:38:13, POST, /admin/wizard/index, HTTP/1.0, 303, 0.014521
127.0.0.1, 2020-07-06 23:38:13, GET, /admin/wizard/step1, HTTP/1.0, 200, 0.027332
127.0.0.1, 2020-07-06 23:38:14, GET, /admin/static/_2.20.4/plugin_multiselect/switch.png, HTTP/1.0, 200, 0.000822
127.0.0.1, 2020-07-06 23:38:14, GET, /favicon.ico, HTTP/1.0, 400, 0.000581
127.0.0.1, 2020-07-06 23:38:52, POST, /admin/wizard/step1, HTTP/1.0, 303, 0.010261
127.0.0.1, 2020-07-06 23:38:52, GET, /admin/wizard/step2/, HTTP/1.0, 200, 0.018960
127.0.0.1, 2020-07-06 23:38:52, GET, /favicon.ico, HTTP/1.0, 400, 0.000435
127.0.0.1, 2020-07-06 23:38:57, POST, /admin/wizard/step2/, HTTP/1.0, 303, 0.006884
127.0.0.1, 2020-07-06 23:38:57, GET, /admin/wizard/step3/0/, HTTP/1.0, 200, 0.018740
127.0.0.1, 2020-07-06 23:38:57, GET, /favicon.ico, HTTP/1.0, 400, 0.000265
127.0.0.1, 2020-07-06 23:38:59, POST, /admin/wizard/step3/0/, HTTP/1.0, 303, 0.008366
127.0.0.1, 2020-07-06 23:38:59, GET, /admin/wizard/step4/, HTTP/1.0, 200, 0.017968
127.0.0.1, 2020-07-06 23:38:59, GET, /favicon.ico, HTTP/1.0, 400, 0.000475
127.0.0.1, 2020-07-06 23:39:01, POST, /admin/wizard/step4/, HTTP/1.0, 303, 0.013733
127.0.0.1, 2020-07-06 23:39:01, GET, /admin/wizard/step5/0/, HTTP/1.0, 200, 0.022912
127.0.0.1, 2020-07-06 23:39:01, GET, /favicon.ico, HTTP/1.0, 400, 0.000443
127.0.0.1, 2020-07-06 23:39:03, POST, /admin/wizard/step5/0/, HTTP/1.0, 303, 0.011818
127.0.0.1, 2020-07-06 23:39:03, GET, /admin/wizard/step5/1/, HTTP/1.0, 200, 0.017093
127.0.0.1, 2020-07-06 23:39:03, GET, /favicon.ico, HTTP/1.0, 400, 0.000345
127.0.0.1, 2020-07-06 23:39:04, POST, /admin/wizard/step5/1/, HTTP/1.0, 303, 0.008920
127.0.0.1, 2020-07-06 23:39:04, GET, /admin/wizard/step6/, HTTP/1.0, 200, 0.020252
127.0.0.1, 2020-07-06 23:39:04, GET, /favicon.ico, HTTP/1.0, 400, 0.000338
127.0.0.1, 2020-07-06 23:39:06, POST, /admin/wizard/step6/, HTTP/1.0, 303, 0.465448
127.0.0.1, 2020-07-06 23:39:06, GET, /admin/wizard/generated, HTTP/1.0, 200, 0.014513
127.0.0.1, 2020-07-06 23:39:06, GET, /test/default/index, HTTP/1.0, 200, 0.171389
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/css/bootstrap.min.css, HTTP/1.0, 200, 0.000656
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/js/modernizr-2.8.3.min.js, HTTP/1.0, 200, 0.001402
127.0.0.1, 2020-07-06 23:39:06, GET, /test/static/js/jquery.js, HTTP/1.0, 200, 0.000727
